Mentor cs login,Meeting time,partner 1 - cs login,partner 1 - github,partner 1 - discord,partner 2 - cs login,partner 2 - github,partner 2 - discord,partner 3 - cs login,partner 3 - github,partner 3 - discord,partner 4 - cs login,partner 4 - github,partner 4 - discord,partner 5 - cs login,partner 5 - github,partner 5 - discord,partner 6 - cs login,partner 6 - github,partner 6 - discord
pmontei1,Tues 7:20 pm - 7:35 pm ,ckaleel,cocokaleel,ckaleel,hzheng29,hongzheng24,nitroreg,nmcgrego,nmcgregor15,Nia McGregor [nmcgrego],eguerre1,edrickgro,edmmick ,ihuerta,,,,,
rdulepet,Weds 5:00 pm - 5:15 pm ,amroueh,ajmroueh,ajmroueh,qyu10,yuqinan,N/A,hli129,h2323547425,Hongyi Li#7686,axu58,aprilxu18,april#3133,mlu49,michellel3,Michelle L#0104,,,
rdulepet,Weds 5:20 pm - 5:35 pm ,zchen186,william-czh,william720#1525,bhoang3,,,aragucci,ansoson,wayolacrayons#3658,dwexler,DanW321,Dan Wexler [dwexler]#1317,sfeng22,SimingRox,SimingRox#8462,,,
rhall10,Tues 4:30 pm - 4:45 pm ,mmille79,its-mmil,markm,lbauman,,,lschroe2,lillyschroeder,Lilly Schroeder#3746,cstellat,CalStell,CalStellato,mborania,,,,,
rhall10,Tues 4:50 pm - 5:05 pm ,cmayers,Cazi,Caziah M,ssabar,sethsabar,CliffySum,sakarapu,,,aceledon,aceledon33,aceledon#1350,jbyers3,jrbyers,JR#1247,,,
sanand13,Weds 2:00 pm - 2:15 pm ,fvidhani,faizaanvidhani,faizaanvidhani,jjia6,jackie-jia,jac#7933,szaveri3,szaveri3,szaveri3,ihuang8,ihuang8,irishguavy,kchen141,kchen141,kyer#2597,,,
sanand13,Weds 2:20 pm - 2:35 pm ,ihaggin,imri554,na,npermpre,NaphatPRM,MisterOmelet,sconkli1,igotschwifty,Troy Conklin#8644,boli,,,ckulthon,chayathornkul,starkey#1058,,,
sdiwan2,Tues 8:30 pm - 8:45 pm ,gmahler,gabrielmahler,gabriel_mahler,karian,KhosrowArian,karian,varora3,veer1707,veer1707,nbenabla,nbenabla,Nada Benabla#4932,akhan110,IchigoBlues,Atif,,,
sdiwan2,Tues 8:50 pm - 9:05 pm ,dtruong7,dinhanhtruong,bepis#7259,byan12,brandonyan5,Brandon Yan#5974,mchakra3,LeafyDriftwood,Driftwood,sdaru,surajdaru,surajd,,,,,,
skothar7,Weds 2:00 pm - 2:15 pm ,faga,faga-1,Fiona Aga#5191,jhill26,,,mhijaz,,,gcantera,,,fhade,,,,,
skothar7,Weds 2:20 pm - 2:35 pm ,jzhou88,lMollidl,Moll!d#1948,jdunn9,jaredmdunn,jdunn510#4587,wguo25,willguo0,justAnotherNumber#6931,rli134,raphaelli1,raphaelli1,acai13,ashley-cai,afishley,mlee180,mhlee304,mhlee304
tdong6,Tues 8:00 pm - 8:15 pm ,jzhu92,eatthepear,eatthepear#9846,jcambier,jcambier,Strayy#4137,aigra,aigra,aigra,etang14,etang14,SirGnat#0978,sdellenb,sdell624,sdell624#0927,hzonnenb,Hzonnenberg,hzepplin
tdong6,Tues 8:20 pm - 8:35 pm ,khachisu,keigo-h,Keigo#4543,tnishiza,TaishiNishizawa,taishi#1508,tsan,thin-su-san,thinsusan#1430,knishiji,keitaronishijima,Keitaro#6004,dlewis15,dylanilewis,lestyn#6299,,,
vli10,Tues 5:00 pm - 5:15 pm ,zsickles,zsickles,zsickles,csavage4,csavage4,csav4,bdiaz2,brandondia-z,Brandon#2212,srober24,sroberts0403,sroberts0403#3995,psimon2,simonp20,VorpalBlade#3378,nahmed21,naafiyan, naafiyan#8896
